TIPO_AGENTE,NOMBRE_COMERCIAL,RAZON_SOCIAL,ESTADO_AGENTE,DEPARTAMENTO,MUNICIPIO,CODIGO_MUNICIPIO_DANE,LATITUD,LONGITUD
DISTRIBUIDOR COMERCIALIZADOR DE GAS,PROMOTORA DE ENERGIAS SUSTENTABLES S.A.S,PROMOTORA DE ENERGIAS SUSTENTABLES S.A.S,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
DISTRIBUIDOR COMERCIALIZADOR DE GAS,EMPRESA DE TRANSPORTES LEBRIJA LTDA,EMPRESA DE TRANSPORTES LEBRIJA LIMITADA,INACTIVO,SANTANDER,LEBRIJA,68406,7.1133508682,-73.2195205688
DISTRIBUIDOR COMERCIALIZADOR DE GAS,GNV EXPRESS EDS,GNV EXPRESS S.A.S.,INACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
ESTACION DE SERVICIO DE GNCV,SERVICENTRO ESSO PLANETA RICA,RUIZ ZULUAGA FLAVIO ERASMO,ACTIVO,CORDOBA,PLANETA RICA,23555,8.408200264,-75.5832443237
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO LA LLANERITA S.A.S.,ESTACIÓN DE SERVICIO LA LLANERITA S.A.S.,INACTIVO,META,VILLAVICENCIO,50001,4.1263689995,-73.6226043701
TALLER DE CONVERSION,SOLUGAS MONTERIA ASOCIADOS SAS,SOLUGAS MONTERIA ASOCIADOS SAS,ACTIVO,CORDOBA,MONTERIA,23001,8.7597894669,-75.8730926514
ESTACION DE SERVICIO DE GNCV,EDS GAZEL EL SURTIDOR,MASSER S.A.S.,ACTIVO,MAGDALENA,SANTA MARTA,47001,11.2046785355,-74.1998291016
DISTRIBUIDOR COMERCIALIZADOR DE GAS,PROMOTORA DE ENERGIAS SUSTENTABLES S.A.S,PROMOTORA DE ENERGIAS SUSTENTABLES S.A.S,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,SERVIGAS CARS SAS 2,SERVIGAS CARS SAS,INACTIVO,SANTANDER,BARRANCABERMEJA,68081,7.0648570061,-73.8492431641
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO LOS ARRAYANES HERVELA,DISTRIBUCIONES HERNANDEZ VELASQUEZ LDTA,ACTIVO,RISARALDA,PEREIRA,66001,4.8049850464,-75.7197113037
ESTACION DE SERVICIO DE GNCV,SERVINORTE,HUGO ALBERTO RIVEROS RESTREPO,INACTIVO,VALLE DEL CAUCA,ROLDANILLO,76622,4.4136009216,-76.1522750854
LABORATORIO DE PRUEBAS HIDROSTATICAS,ENERGIA SEGURA SAS,ENERGIA SEGURA SAS,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,CARSHOP S.A.S,CENTRO AUTOMOTRIZ TECNO - GAS SAS,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,CERVECERIA TOCANCIPÁ,BAVARIA & CIA S.C.A,INACTIVO,CUNDINAMARCA,TOCANCIPA,25817,4.9646410942,-73.912071228
ESTACION DE SERVICIO DE GNCV,EDS OPECOM CIUDAD DE CALI,INVERSIONES RIO CAUCA Y CIA LTDA,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,CERVECERIA DEL VALLE S A,CERVECERIA DEL VALLE S.A.S.,INACTIVO,VALLE DEL CAUCA,YUMBO,76892,3.5400969982,-76.4998931885
ESTACION DE SERVICIO DE GNCV,CHIPICHAPE - GNV,MASSER S.A.S.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,ESTACIÓN HOBO,ALCANOS DE COLOMBIA S.A. E.S.P.,INACTIVO,HUILA,HOBO,41349,2.5808119774,-75.4477005005
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO EL OBRERO,INVERSIONES JUDI S A S,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ORGANISMO CERTIFICADOR,CCC INSPECCIONES S.A.S.,CCC INSPECCIONES S.A.S.,ACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
TALLER DE CONVERSION,MGAS,MONTAGUT PRADO MILENA,INACTIVO,SANTANDER,BARRANCABERMEJA,68081,7.0648570061,-73.8492431641
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO EL OBRERO,INVERSIONES JUDI S A S,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
COMERCIALIZADOR DE EQUIPOS,DISTRIBUIDORA LOS COCHES LA SABANA S.A.S,DISTRIBUIDORA LOS COCHES LA SABANA S.A.S,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,DISTRACOM LA GRAN MANZANA,DISTRACOM S.A.,ACTIVO,TOLIMA,SAN SEBASTIAN DE MARIQUITA,73443,5.1997079849,-74.8892745972
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO LA PLAZUELA GNV,MASSER S.A.S.,ACTIVO,CALDAS,MANIZALES,17001,5.057656765,-75.491027832
DISTRIBUIDOR COMERCIALIZADOR DE GAS,GASPETROIL S.A.,GASPETROIL S.A,INACTIVO,MAGDALENA,SANTA MARTA,47001,11.2046785355,-74.1998291016
DISTRIBUIDOR COMERCIALIZADOR DE GAS,GANMEGAN S A,GANDUR MENDOZA GANDUR S.A.,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
DISTRIBUIDOR COMERCIALIZADOR DE GAS,SURTIDORA DE GAS DEL CARIBE S.A. E.S.P.,SURTIDORA DE GAS DEL CARIBE S.A. E.S.P.,ACTIVO,BOLIVAR,CARTAGENA DE INDIAS,13001,10.3851261139,-75.4962692261
LABORATORIO DE PRUEBAS HIDROSTATICAS,ENERGIA LIMPIA ELI SAS,ENERGIA LIMPIA ELI SAS,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,GASES Y SERVICIOS DE COLOMBIA,GASES Y SERVICIOS DE COLOMBIA GASERCOL GNV SAS,INACTIVO,META,VILLAVICENCIO,50001,4.1263689995,-73.6226043701
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIOS TERPEL LA UNIÓN,GRUPO MUÑOZ RODRÍGUEZ & ASOCIADOS S EN C.,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,EDS SAN MATEO,INVERSIONES LIGOL SAS,ACTIVO,CUNDINAMARCA,SOACHA,25754,4.5792679787,-74.215461731
DISTRIBUIDOR COMERCIALIZADOR DE GAS,INVERSIONES FAREWA SAS,FAREWA SAS,INACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
DISTRIBUIDOR COMERCIALIZADOR DE GAS,MADIGAS INGENIEROS SA ESP,MADIGAS INGENIEROS SA ESP,ACTIVO,META,ACACIAS,50006,3.9904129505,-73.7660369873
ESTACION DE SERVICIO DE GNCV,EDS TERPEL AUTOPISTA GNV,COMERCOM VALLE JGL S.A.S,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO EL PORVENIR,INVERSIONES DEL CAMINO S.A.S,ACTIVO,CUNDINAMARCA,MOSQUERA,25473,4.7065300941,-74.2211532593
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO TECNOLÓGICA,FACTOR ENERGÍA S.A.S.,INACTIVO,BOLIVAR,TURBACO,13836,10.3483161926,-75.4272460938
ESTACION DE SERVICIO DE GNCV,ESTACION DE GAS NATURAL VEHICULAR EL CARMEN,SUMINISTROS AUTOMOTRICES LTDA O SUMA LTDA,INACTIVO,SANTANDER,GIRON,68307,7.0704321861,-73.1668319702
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO PUERTA DEL SOL,DISTRIBUCIONES HERNANDEZ VELASQUEZ LDTA,INACTIVO,CUNDINAMARCA,LA MESA,25386,4.6310281754,-74.4615859985
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO GNV CAÑAVERALES,MASSER S.A.S.,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO TRANSURBAR  - GAS,"TRANSPORTES URBANOS DE PASAJEROS DE BARRANQUILLA LIMITADA ""TRANSURBAR LTDA""",INACTIVO,ATLANTICO,SOLEDAD,08758,10.9099206924,-74.7860565186
ORGANISMO CERTIFICADOR,IVS COMPAÑIA DE CERTIFICACIONES SAS,IVS COMPAÑIA DE CERTIFICACIONES SAS,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,EDS PRIMAVERA_,COMBUSTIBLES LA PRIMAVERA CAJICA SAS,ACTIVO,CUNDINAMARCA,CAJICA,25126,4.9200091362,-74.0229797363
DISTRIBUIDOR COMERCIALIZADOR DE GAS,EDS BASTIDAS,COMERCIAL AVANADE S.A.S,INACTIVO,MAGDALENA,SANTA MARTA,47001,11.2046785355,-74.1998291016
TALLER DE CONVERSION,TMG TECNISERVICIOS MECANI-GAS SAS,TMG TECNISERVICIOS MECANI-GAS SAS,ACTIVO,RISARALDA,PEREIRA,66001,4.8049850464,-75.7197113037
ESTACION DE SERVICIO DE GNCV,CODELCE EDS LAS PALMAS,COMBUSTIBLES DEL CESAR & CIA LTDA - CODELCE,ACTIVO,CUNDINAMARCA,FUSAGASUGA,25290,4.3367228508,-74.3754272461
DISTRIBUIDOR COMERCIALIZADOR DE GAS,OPERADORES DE ESTACIONES DE SERVICIO LTDA,"OPERADORES DE ESTACIONES DE SERVICIO LTDA ""OPES LTDA""",INACTIVO,VALLE DEL CAUCA,YUMBO,76892,3.5400969982,-76.4998931885
ESTACION DE SERVICIO DE GNCV,EDS SAGRADO CORAZON,GASES Y COMBUSTIBLES DEL CARIBE LTDA,INACTIVO,BOLIVAR,EL CARMEN DE BOLIVAR,13244,9.7186527252,-75.1211776733
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO DISTRACOM GUADALUPE,DISTRACOM S.A.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
COMERCIALIZADOR DE EQUIPOS,TOMASETTO COLOMBIA SAS,TOMASETTO COLOMBIA S.A.S.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,GASAUTO SAS,GASAUTO SAS,INACTIVO,QUINDIO,ARMENIA,63001,4.5359802246,-75.6807861328
TALLER DE CONVERSION,GNV RIOHACHA SAS,GNV RIOHACHA SAS,ACTIVO,LA GUAJIRA,RIOHACHA,44001,11.528588295,-72.9117965698
ESTACION DE SERVICIO DE GNCV,EDS TERPEL GNV EL INGENIO,CAMVA SAS,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,SERVICENTRO BUCAROS,GNVC BUCARAMANGA SAS,INACTIVO,SANTANDER,BUCARAMANGA,68001,7.1164698601,-73.13256073
ESTACION DE SERVICIO DE GNCV,SERVICIOS DE GAS  DEL LLANO S.A.S,SERVICIOS DE GAS DEL LLANO S.A.S.,INACTIVO,META,GUAMAL,50318,3.8796570301,-73.7688140869
TALLER DE CONVERSION,GAS VEHICULAR BARBOSA,DIAZ GUIZA ALIRIO,INACTIVO,SANTANDER,BARBOSA,68077,5.93253088,-73.6159667969
ESTACION DE SERVICIO DE GNCV,EDS ALFONSO LOPEZ,INVERSIONES RIO CAUCA Y CIA LTDA,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO MILENIUM GAS-ESPERANZA,MOVILGAS LTDA.,ACTIVO,META,VILLAVICENCIO,50001,4.1263689995,-73.6226043701
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO CUIDAD MODELO,ESTACIÓN DE SERVICIO HÉROES DE ORIENTE S.A.S.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,EDS ALFONSO LOPEZ,INVERSIONES RIO CAUCA Y CIA LTDA,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,TECNOGAS MOTOR GNV SAS,TECNOGAS MOTOR GNV SAS,INACTIVO,CUNDINAMARCA,SOACHA,25754,4.5792679787,-74.215461731
DISTRIBUIDOR COMERCIALIZADOR DE GAS,DISTRIBUIDORA MUNDIAL DE COMBUSTIBLES S.A.S.,DISTRIBUIDORA MUNDIAL DE COMBUSTIBLES S.A.S.,INACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO PLAZA MADERO,COMERCIALIZADORA INTEGRAL VIAL SAS,ACTIVO,VALLE DEL CAUCA,PALMIRA,76520,3.5315439701,-76.2988433838
DISTRIBUIDOR COMERCIALIZADOR DE GAS,GASES DE OCCIDENTE S.A E.S.P,GASES DE OCCIDENTE S.A E.S.P,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,CODELCE EDS LAS PALMAS,COMBUSTIBLES DEL CESAR & CIA LTDA - CODELCE,INACTIVO,CUNDINAMARCA,FUSAGASUGA,25290,4.3367228508,-74.3754272461
ESTACION DE SERVICIO DE GNCV,PETROMIL LA TRONCAL,OPERADORES ESPECIALIZADOS EN SERVICIOS S.A.S.,INACTIVO,SUCRE,SINCELEJO,70001,9.3023223877,-75.3954467773
COMERCIALIZADOR DE EQUIPOS,GASEXPRESS VEHICULAR S.A.S.,GASEXPRESS VEHICULAR S.A.S. EN ACUERDO DE REORGANIZACION,ACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO TERPEL TERMINAL CALI GNV,NIDRA S.A.S.,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,CENTRO DE CONVERSION VEHICULAR A GAS POWER GAS SAS,CENTRO DE CONVERSION VEHICULAR A GAS POWER GAS SAS,INACTIVO,RISARALDA,PEREIRA,66001,4.8049850464,-75.7197113037
ESTACION DE SERVICIO DE GNCV,COALTRANS & CO LTDA,COMPAÑÍA DE INVERSIONES COMERCIALES EN TRANSPORTE Y MINERIA LIMITADA,INACTIVO,CUNDINAMARCA,ZIPAQUIRA,25899,5.0254769325,-73.9944458008
TALLER DE CONVERSION,CARSHOP POPAYAN,TECNOLOGIA Y MANUFACTURA ECOMOTIVE COLOMBIA SAS,INACTIVO,CAUCA,POPAYAN,19001,2.4596409798,-76.5993804932
ESTACION DE SERVICIO DE GNCV,E.D.S. AUTOMOTRIZ EL RANCHO BARANOA,COMBUSTIBLES EL RANCHO BARANOA S.A.S.,INACTIVO,ATLANTICO,BARANOA,08078,10.7944498062,-74.9160766602
DISTRIBUIDOR COMERCIALIZADOR DE GAS,DISTRILUBRICANTES SAS,DISTRILUBRICANTES SAS,INACTIVO,HUILA,NEIVA,41001,2.9354319572,-75.2773284912
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO DISTRACOM EXPOSICIONES,DISTRACOM S.A.,ACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
DISTRIBUIDOR COMERCIALIZADOR DE GAS,COMBUSTIBLES LA PRIMAVERA CAJICA SAS,COMBUSTIBLES LA PRIMAVERA CAJICA SAS,INACTIVO,CUNDINAMARCA,CAJICA,25126,4.9200091362,-74.0229797363
ESTACION DE SERVICIO DE GNCV,EDS ROOSVELT GNV,MASSER S.A.S.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,GNV SOLUTIONS,GNV SOLUTIONS S.A.S.,INACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO TERPEL QUINTA NORTE - GNV,SALAZAR SAENZ S.A.S,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,CARSHOP SOLUCIONES INTEGRALES,TECNOLOGIA Y MANUFACTURA ECOMOTIVE COLOMBIA SAS,INACTIVO,CAUCA,POPAYAN,19001,2.4596409798,-76.5993804932
ESTACION DE SERVICIO DE GNCV,G.N.V. EL PORTÓN,DISTRIBUIDORA CERVECERA DEL TEQUENDAMA S.A.S,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,EDS PACARA GNV,MASSER S.A.S.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
DISTRIBUIDOR COMERCIALIZADOR DE GAS,GASPETROIL,GASPETROIL S.A,INACTIVO,MAGDALENA,SANTA MARTA,47001,11.2046785355,-74.1998291016
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO LA PAZ,ESTACION DE SERVICIO LA PAZ SAS,INACTIVO,CUNDINAMARCA,ZIPAQUIRA,25899,5.0254769325,-73.9944458008
ESTACION DE SERVICIO DE GNCV,NUEVA ESTACION DE SERVICIO SAN VICENTE,JIMENEZ GARCIA FERNANDO,INACTIVO,CALDAS,CHINCHINA,17174,4.985227108,-75.6075286865
TALLER DE CONVERSION,TMG TECNISERVICIOS MECANI-GAS,DORA PATRICIA ROJAS CAMACHO,INACTIVO,RISARALDA,PEREIRA,66001,4.8049850464,-75.7197113037
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO LOS PINOS MARTINEZ,ESTACION DE SERVICIO LOS PINOS MARTINEZ LIMITADA,INACTIVO,TOLIMA,VENADILLO,73861,4.7178778648,-74.9293365479
ESTACION DE SERVICIO DE GNCV,EDS EL SAMÁN,ESTACIÓN DE SERVICIO HÉROES DE ORIENTE S.A.S.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO DISTRACOM NUESTRO MONTERIA,DISTRACOM S.A.,ACTIVO,CORDOBA,MONTERIA,23001,8.7597894669,-75.8730926514
ESTACION DE SERVICIO DE GNCV,EDS RECARGAX GUADALUPE,TOTAL GAS S.A,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
DISTRIBUIDOR COMERCIALIZADOR DE GAS,CERVECERÍA UNIÓN S.A,CERVECERÍA UNIÓN S.A.,INACTIVO,ANTIOQUIA,ITAGUI,05360,6.1750788689,-75.6120529175
ESTACION DE SERVICIO DE GNCV,OPECOM EDS LAS DELICIAS,OPECOM SAS,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO LAS PALMAS,DISTRIBUIDORA COLOMBIANA DE COMBUSTIBLES S.A. DISCO S.A.,INACTIVO,TOLIMA,IBAGUE,73001,4.4322481155,-75.1942520142
LABORATORIO DE PRUEBAS HIDROSTATICAS,IPM INDUSTRIAL,IPM INDUSTRIAL Y AMBIENTAL SAS,INACTIVO,VALLE DEL CAUCA,PALMIRA,76520,3.5315439701,-76.2988433838
ORGANISMO CERTIFICADOR,PROFESIONALES EN CERTIFICACIÓN SAS,PROFESIONALES EN CERTIFICACIÓN SAS,ACTIVO,CUNDINAMARCA,CHIA,25175,4.866508007,-74.0500030518
ESTACION DE SERVICIO DE GNCV,VALLE DE LILI - GNV,MASSER S.A.S.,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,EDS GNC ZUCA,ADMINISTRADORA DE ESTACIONES S.A.S,ACTIVO,MAGDALENA,SANTA MARTA,47001,11.2046785355,-74.1998291016
TALLER DE CONVERSION,GNV RIONEGRO ANTIOQUIA SAS,GNV RIONEGRO ANTIOQUIA SAS,INACTIVO,ANTIOQUIA,RIONEGRO,05615,6.1471481323,-75.3773193359
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIOS EL TRIUNFO,COOPERATIVA INTEGRAL DE TRANSPORTADORES TAXIS EL TRIUNFO,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
COMERCIALIZADOR DE EQUIPOS,SANAUTOS S.A.S.,SANAUTOS S.A.,INACTIVO,SANTANDER,FLORIDABLANCA,68276,7.0723290443,-73.099105835
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO MARIA LUISA,MAXIPAZ SAS,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,SUPERAUTOCENTRO MOBIL EL LIDO,SUPERAUTOCENTRO MOBIL EL LIDO S.A.S.,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
COMERCIALIZADOR DE EQUIPOS,AUTOMOTRIZ  CALDAS MOTOR SAS,AUTOMOTRIZ  CALDAS MOTOR SAS,ACTIVO,CALDAS,MANIZALES,17001,5.057656765,-75.491027832
ESTACION DE SERVICIO DE GNCV,EDS GNV PALERMO,BONCA S.A.S.,ACTIVO,MAGDALENA,SITIONUEVO,47745,10.7752847672,-74.7200241089
ESTACION DE SERVICIO DE GNCV,GNV CAMPEROS DEL CAFÉ,MASSER S.A.S.,ACTIVO,CALDAS,MANIZALES,17001,5.057656765,-75.491027832
COMERCIALIZADOR DE EQUIPOS,MUNICIPIO DE EL CASTILLO,MUNICIPIO DE EL CASTILLO,INACTIVO,META,EL CASTILLO,50251,3.563906908,-73.7942276001
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO COMGASCO TOCAREMA,GASES DEL LLANO S.A. EMPRESA DE SERVICIOS PUBLICOS SIC,ACTIVO,CUNDINAMARCA,GIRARDOT,25307,4.3130688667,-74.7982025146
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO BARRANQUILLA,DESTBLAN S. EN C.,INACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
ESTACION DE SERVICIO DE GNCV,SUPERAUTOCENTRO MOBIL EL LIDO,SUPERAUTOCENTRO MOBIL EL LIDO S.A.S.,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO EL CAÑADUZAL,FRANJAVA S.A.S,ACTIVO,VALLE DEL CAUCA,GUADALAJARA DE BUGA,76111,3.9007360935,-76.2989807129
DISTRIBUIDOR COMERCIALIZADOR DE GAS,CENTRO DE SERVICIOS CAÑASGORDAS,JOSE HUGO ARIAS LEON,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO MURILLO LA 45,GAVIRIA LONDOÑO LUIS ALBERTO,ACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO LOS DIAMANTES,LEMUS PRADO HUMBERTO,ACTIVO,BOYACA,TUNJA,15001,5.5398797989,-73.3555374146
ESTACION DE SERVICIO DE GNCV,EDS GAZEL BELALCAZAR,MASSER S.A.S.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO PEDRO DE HEREDIA,JULIO MORALES T. & CIA S.A.,INACTIVO,BOLIVAR,CARTAGENA DE INDIAS,13001,10.3851261139,-75.4962692261
ESTACION DE SERVICIO DE GNCV,EDS TERPEL NEIVANA DE GAS GNV,MASSER S.A.S.,ACTIVO,HUILA,NEIVA,41001,2.9354319572,-75.2773284912
ESTACION DE SERVICIO DE GNCV,EDS EL RETORNO GNV,SANCHEZ & LOZANO SAS,ACTIVO,CUNDINAMARCA,SOACHA,25754,4.5792679787,-74.215461731
TALLER DE CONVERSION,MOVIGAS PREMIUM,ORREGO ZULUAGA JUAN ESTEBAN,INACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
TALLER DE CONVERSION,POWER GAS IBAGUE S.A.S,POWER GAS IBAGUE S.A.S.,INACTIVO,TOLIMA,IBAGUE,73001,4.4322481155,-75.1942520142
DISTRIBUIDOR COMERCIALIZADOR DE GAS,EMPRESA DE ENERGIA DE CASANARE SA ESP,EMPRESA DE ENERGIA DE CASANARE S.A. E.S.P.,INACTIVO,CASANARE,YOPAL,85001,5.3271021843,-72.3961334229
TALLER DE CONVERSION,GNV VALLEGAS SAS,GNV VALLEGAS S.A.S,ACTIVO,CESAR,VALLEDUPAR,20001,10.4604721069,-73.2593994141
ESTACION DE SERVICIO DE GNCV,EDS SERVICENTRO TERMINAL TULUA,GALVEZ GIRALDO ZABULON,ACTIVO,VALLE DEL CAUCA,TULUA,76834,4.0853991508,-76.1977310181
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO DANUBIO FUNZA,GNE SOLUCIONES SAS,ACTIVO,CUNDINAMARCA,FUNZA,25286,4.7104120255,-74.2015304565
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO GNV PRADOS DEL NORTE,MASSER S.A.S.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,L.L. GAS VEHICULAR LTDA U.,L.L. GAS VEHICULAR LTDA U.,INACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
IMPORTADOR DE VEHICULOS,CASS CONSTRUCTORES S.A.S,CASS CONSTRUCTORES S.A.S,INACTIVO,VALLE DEL CAUCA,JAMUNDI,76364,3.2587509155,-76.5384750366
ESTACION DE SERVICIO DE GNCV,EDS TULUA GNV,MASSER S.A.S.,ACTIVO,VALLE DEL CAUCA,TULUA,76834,4.0853991508,-76.1977310181
DISTRIBUIDOR COMERCIALIZADOR DE GAS,INVERSIONES PLANEY LTDA,INVERSIONES PLANEY LTDA,INACTIVO,SANTANDER,BUCARAMANGA,68001,7.1164698601,-73.13256073
DISTRIBUIDOR COMERCIALIZADOR DE GAS,COESCO COLOMBIA SAS,COESCO COLOMBIA SAS,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
IMPORTADOR DE EQUIPOS,TOMASETTO COLOMBIA S.A.S.,TOMASETTO COLOMBIA S.A.S.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,GASES Y SERVICIOS DE COLOMBIA GASERCOL GNV SAS,GASES Y SERVICIOS DE COLOMBIA GASERCOL GNV SAS,INACTIVO,META,VILLAVICENCIO,50001,4.1263689995,-73.6226043701
TALLER DE CONVERSION,GASES Y SERVICIOS DE COLOMBIA GASERCOL GNV SAS,GASES Y SERVICIOS DE COLOMBIA GASERCOL GNV SAS,INACTIVO,META,VILLAVICENCIO,50001,4.1263689995,-73.6226043701
TALLER DE CONVERSION,GNV ANTIOQUIA,G.N.V. ANTIOQUIA S.A.S.,ACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
