TIPO_AGENTE,NOMBRE_COMERCIAL,RAZON_SOCIAL,ESTADO_AGENTE,DEPARTAMENTO,MUNICIPIO,CODIGO_MUNICIPIO_DANE,LATITUD,LONGITUD
DISTRIBUIDOR COMERCIALIZADOR DE GAS,ESTACION DE SERVICIO VEHICULAR MARIA LUISA,PROMOTORA DE ENERGIAS SUSTENTABLES S.A.S,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
DISTRIBUIDOR COMERCIALIZADOR DE GAS,ESTACION DE SERVICIO VEHICULAR MARIA LUISA,PROMOTORA DE ENERGIAS SUSTENTABLES S.A.S,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO DISTRACOM SABANAS,DISTRACOM S.A.,ACTIVO,SUCRE,SINCELEJO,70001,9.3023223877,-75.3954467773
TALLER DE CONVERSION,PROGAS VEHICULAR SAS,PROGAS VEHICULAR SAS,INACTIVO,CESAR,VALLEDUPAR,20001,10.4604721069,-73.2593994141
ESTACION DE SERVICIO DE GNCV,OPECOM EDS LA AUTOPISTA SUR,OPECOM SAS,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO ZONA Y LA ISLA,MANTILLA & ROJAS S.A.S.,INACTIVO,SANTANDER,SAN GIL,68679,6.5519518852,-73.1347732544
TALLER DE CONVERSION,OK AUTOGLP TALLERES,INVERSIONES GASCAR SAS ZOMAC,ACTIVO,ARAUCA,ARAUCA,81001,7.0727257729,-70.7474060059
TALLER DE CONVERSION,GASAUTO 2,GASAUTO SAS,INACTIVO,QUINDIO,ARMENIA,63001,4.5359802246,-75.6807861328
DISTRIBUIDOR COMERCIALIZADOR DE GAS,COMERCIAL AVANADE SAS,COMERCIAL AVANADE S.A.S,INACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
DISTRIBUIDOR COMERCIALIZADOR DE GAS,GNV EXPRESS EDS TINTALITO,GNV EXPRESS S.A.S.,INACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
ESTACION DE SERVICIO DE GNCV,CENTRO DE SERVICIOS LAS MERCEDES S.A.S.,CENTRO DE SERVICIOS LAS MERCEDES S.A.S.,INACTIVO,VALLE DEL CAUCA,JAMUNDI,76364,3.2587509155,-76.5384750366
ESTACION DE SERVICIO DE GNCV,CENTRO DE SERVICIOS LAS MERCEDES S.A.S.,CENTRO DE SERVICIOS LAS MERCEDES S.A.S.,INACTIVO,VALLE DEL CAUCA,JAMUNDI,76364,3.2587509155,-76.5384750366
LABORATORIO DE PRUEBAS HIDROSTATICAS,HIDROSTATICAS DE OCCIDENTE SAS,HIDROSTATICAS DE OCCIDENTE SAS,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
DISTRIBUIDOR COMERCIALIZADOR DE GAS,ESTACION DE SERVICIO DE SERVICIO UNIVERSIDAD S.A.,ESTACION DE SERVICIO UNIVERSIDAD S.A.,INACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
ESTACION DE SERVICIO DE GNCV,TERPEL LA CEIBA GNV ITAGUI,MASSER S.A.S.,INACTIVO,ANTIOQUIA,ITAGUI,05360,6.1750788689,-75.6120529175
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO TEXACO NO 9,INVERSORES HATO VIEJO S.A.,ACTIVO,ANTIOQUIA,BELLO,05088,6.3335871696,-75.5552444458
ESTACION DE SERVICIO DE GNCV,EPM EL BOSQUE,EMPRESAS PUBLICAS DE MEDELLIN ESP,ACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
ESTACION DE SERVICIO DE GNCV,EDS MILAGROSA S.A.S.,EDS MILAGROSA S.A.S.,INACTIVO,ATLANTICO,SABANAGRANDE,08634,10.7924528122,-74.7594985962
TALLER DE CONVERSION,GASOLGAS GNV DUITAMA,SERGIO ALEJANDRO RIOS PINTO,INACTIVO,BOYACA,DUITAMA,15238,5.8229641914,-73.030632019
TALLER DE CONVERSION,GASOLGAS GNV DUITAMA,SERGIO ALEJANDRO RIOS PINTO,INACTIVO,BOYACA,DUITAMA,15238,5.8229641914,-73.030632019
TALLER DE CONVERSION,GASOLGAS GNV DUITAMA,SERGIO ALEJANDRO RIOS PINTO,INACTIVO,BOYACA,DUITAMA,15238,5.8229641914,-73.030632019
TALLER DE CONVERSION,GASOLGAS GNV DUITAMA,SERGIO ALEJANDRO RIOS PINTO,INACTIVO,BOYACA,DUITAMA,15238,5.8229641914,-73.030632019
TALLER DE CONVERSION,SIMEC GNV SAS,SIMEC GNV SAS,INACTIVO,HUILA,NEIVA,41001,2.9354319572,-75.2773284912
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO EL TRIANGULO DE LA CIRCUNVALAR DE MONTERIA,COMBCOR SAS,ACTIVO,CORDOBA,MONTERIA,23001,8.7597894669,-75.8730926514
ESTACION DE SERVICIO DE GNCV,ESTACION GNV PARQUE OLAYA,INVERSIONES PARQUE OLAYA S.A.S.,INACTIVO,RISARALDA,PEREIRA,66001,4.8049850464,-75.7197113037
IMPORTADOR DE VEHICULOS,COMERCIAL INTERNACIONAL DE EQUIPOS Y MAQUINARIA SAS,COMERCIAL INTERNACIONAL DE EQUIPOS Y MAQUINARIA SAS,INACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
ESTACION DE SERVICIO DE GNCV,ESTACION TERPEL PUERTA DE ORO,MASSER S.A.S.,INACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
TALLER DE CONVERSION,TECNIGAS DEL LLANO LTDA.,TECNIGAS DEL LLANO LTDA.,INACTIVO,META,VILLAVICENCIO,50001,4.1263689995,-73.6226043701
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO MILENIUM GAS CATAMA,MOVILGAS LTDA.,ACTIVO,META,VILLAVICENCIO,50001,4.1263689995,-73.6226043701
LABORATORIO DE PRUEBAS HIDROSTATICAS,GEMA DISTRIBUCIÓN Y SERVICIOS S.A.S.,GEMA DISTRIBUCIÓN Y SERVICIOS S.A.S.,ACTIVO,RISARALDA,PEREIRA,66001,4.8049850464,-75.7197113037
ESTACION DE SERVICIO DE GNCV,CENTRO DE SERVICIO LAS MERCEDES,CENTRO DE SERVICIOS LAS MERCEDES S.A.S.,INACTIVO,VALLE DEL CAUCA,JAMUNDI,76364,3.2587509155,-76.5384750366
ESTACION DE SERVICIO DE GNCV,EDS LAS PALMAS,STANDARD ENERGY COMPANY S.A.,INACTIVO,CUNDINAMARCA,FUSAGASUGA,25290,4.3367228508,-74.3754272461
TALLER DE CONVERSION,900083124,TECNIGAS DEL LLANO LTDA.,INACTIVO,META,VILLAVICENCIO,50001,4.1263689995,-73.6226043701
ESTACION DE SERVICIO DE GNCV,EDS FULL GAS LA FLORESTA DE CALI,COLOMBIANA DE GAS VEHICULAR S.A SIGLA COVEGAS S.A,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
